Adı,Mekan Türü,İlçe Adı,Açılış Yılı,Adres,Telefon,Çalışma Saatleri,Medya
Ayasofya,Müze / Cami,Fatih,1452,"Sultan Ahmet, Ayasofya Meydanı No:1, 34122 Fatih/İstanbul, Türkiye", 0 212 522 17 50,9.00-18.00,https://youtu.be/eltgqziRWWg?si=-NYQkR5LCYzmQLOe
Sultanahmet Camii,Cami,Fatih,1395,"Sultan Ahmet Mahallesi, Atmeydanı Caddesi No:7, 34122 Fatih/İstanbul, Türkiye",0212 458 07 76,08:30 – 19:00.,https://youtu.be/1l8jxcjc7RE?si=hZSeCjwUAxMZkfrv
Topkapı Sarayı,Saray / Müze,Fatih,1465,"Cankurtaran, Babı Hümayun Caddesi No:1, 34122 Fatih/İstanbul, Türkiye",0 (212) 512 04 80,09.00-17.00,https://youtu.be/4E6TtauQM-0?si=zNZ9hC82_YvxDmau
Yerebatan Sarnıcı,Tarihi Sarnıç,Fatih,1987,"Alemdar Mahallesi, Yerebatan Caddesi 1/3, 34110 Fatih/İstanbul, Türkiye",0 212 222 28 82,09.00 - 17.30,https://youtu.be/-XhkZZWXdts?si=qWjhEgyae5rQXmmA
Kapalıçarşı,Tarihi Çarşı,Fatih,1461,"Beyazıt Mahallesi, Kalpakçılar Caddesi No:22, 34126 Fatih/İstanbul, Türkiye",0 212 522 39 39,08:30 - 19:00.,https://images.pexels.com/photos/7314429/pexels-photo-7314429.jpeg
Süleymaniye Camii,Cami,Fatih,1557,"Süleymaniye Mahallesi, Prof. Sıddık Sami Onar Caddesi No:1, 34116 Fatih/İstanbul, Türkiye",90 212 458 00 00.,08:30–16:45,https://images.pexels.com/photos/31860573/pexels-photo-31860573.jpeg
Dolmabahçe Sarayı,Saray / Müze,Beşiktaş,1856,"Vişnezade Mahallesi, Dolmabahçe Caddesi, 34357 Beşiktaş/İstanbul, Türkiye",0 (212) 236 90 00,9.00-17.00,https://images.pexels.com/photos/31875231/pexels-photo-31875231.jpeg
Galata Kulesi,Tarihi Kule / Seyir Noktası,Beyoğlu,1349,"Bereketzade Mahallesi, Galata Kulesi Sokak No:2, 34421 Beyoğlu/İstanbul, Türkiye",0212 249 03 44,08:30 - 23:00,https://youtu.be/UjGUTVGi_eg?si=JBVWxjAihw8KdUfG
Ortaköy Meydanı,Meydan / Sahil Alanı,Beşiktaş,,"Ortaköy Mahallesi, Mecidiye Köprüsü Sokak, 34347 Beşiktaş/İstanbul, Türkiye",,,https://images.pexels.com/photos/30253366/pexels-photo-30253366.jpeg
Çamlıca Tepesi,Tepe / Seyir Noktası,Üsküdar,1876,"Kısıklı Mahallesi, Çamlıca Caddesi, 34664 Üsküdar/İstanbul, Türkiye",0 216 912 34 00 ,,https://images.pexels.com/photos/18637452/pexels-photo-18637452.jpeg
